county,total_vehicle,ev,light_duty_evs,medium_duty_evs,heavy_duty_evs
Barrow,113343,726,666,60,1
Bartow,140454,851,780,70,1
Butts,34747,106,97,9,0
Carroll,143755,674,618,55,1
Cherokee,295858,5047,4627,415,5
Clayton,215621,2093,1919,172,2
Cobb,679299,17396,15947,1430,19
Coweta,164883,1951,1788,160,2
Dawson,45215,461,423,38,1
DeKalb,537470,15118,13859,1243,16
Douglas,133869,1613,1479,133,2
Fayette,134371,3020,2768,248,3
Forsyth,267749,12194,11178,1002,13
Fulton,813954,34214,31364,2813,37
Gwinnett,852518,22196,20347,1825,24
Haralson,41485,120,110,10,0
Heard,18035,22,20,2,0
Henry,236140,2998,2748,246,3
Jasper,25710,54,50,4,0
Lamar,27135,72,66,6,0
Meriwether,32981,68,62,6,0
Morgan,34512,129,118,11,0
Newton,132189,885,811,73,1
Paulding,177573,1906,1747,157,2
Pickens,50577,274,251,23,0
Pike,33552,105,96,9,0
Rockdale,85845,841,771,69,1
Spalding,77832,345,316,28,0
Walton,133841,764,700,63,1
