county,total_vehicle,ev,light_duty_evs,medium_duty_evs,heavy_duty_evs
Barrow,105920,146,141,5,0
Bartow,133046,151,146,5,0
Butts,34254,17,16,1,0
Carroll,13325,6,6,0,0
Cherokee,276659,1039,1007,32,0
Clayton,216800,250,242,8,0
Cobb,650882,4243,4112,131,0
Coweta,156247,413,400,13,0
Dawson,41275,88,85,3,0
DeKalb,524683,4497,4358,139,0
Douglas,130262,252,244,8,0
Fayette,128365,746,723,23,0
Forsyth,239065,2091,2026,65,0
Fulton,772737,9087,8806,281,0
Gwinnett,778277,3895,3775,120,0
Haralson,41043,15,15,0,0
Heard,17476,2,2,0,0
Henry,225885,456,442,14,0
Jasper,24123,7,7,0,0
Lamar,25653,27,26,1,0
Meriwether,32108,9,9,0,0
Morgan,32750,30,29,1,0
Newton,128725,154,149,5,0
Paulding,165985,285,276,9,0
Pickens,47566,74,72,2,0
Pike,31770,17,16,1,0
Rockdale,84968,150,145,5,0
Spalding,77060,59,57,2,0
Walton,126306,148,143,5,0
