county,total_vehicle,ev,light_duty_evs,medium_duty_evs,heavy_duty_evs
Barrow,100345,87,84,3,0
Carroll,132831,70,68,2,0
Cherokee,270855,675,654,21,0
Clayton,210816,155,150,5,0
Cobb,638919,3044,2950,94,0
Coweta,151848,253,245,8,0
Dawson,40010,64,62,2,0
DeKalb,508842,3340,3237,103,0
Douglas,126184,135,131,4,0
Fayette,125670,509,493,16,0
Forsyth,233802,1475,1429,46,0
Fulton,750309,6442,6243,199,0
Gwinnett,754275,2536,2458,78,0
Henry,218481,271,263,8,0
Newton,123655,98,95,3,0
Paulding,160677,165,160,5,0
Pike,30927,11,11,0,0
Rockdale,82235,69,67,2,0
Spalding,74627,36,35,1,0
Walton,122306,82,79,3,0
