,county,total_vehicle,ev,passenger_vehicle,truck,trailer,motorcycle,bus,other
0, ,10781973,121412,6860913,2275892,1376222,229614,39299,33
1,Appling,24919,25,10064,8246,6004,496,109,0
2,Atkinson,10063,7,3985,3421,2480,119,58,0
3,Bacon,14642,10,5597,4868,3867,230,80,0
4,Baker,4175,2,1775,1352,983,45,20,0
5,Baldwin,44242,105,25043,10605,7647,810,137,0
6,Banks,30380,45,13143,8920,7328,905,84,0
7,Barrow,111075,566,64457,26445,16787,3057,327,2
8,Bartow,138639,645,75767,35457,23102,3955,358,0
9,Ben Hill,17583,26,9001,4994,3226,291,71,0
10,Berrien,23591,26,10042,7129,5748,582,90,0
11,Bibb,134184,601,90595,27962,13076,2014,537,0
12,Bleckley,15999,23,7398,4458,3693,372,78,0
13,Brantley,23752,15,9536,7289,6301,541,85,0
14,Brooks,19755,20,9047,5942,4323,363,80,0
15,Bryan,53465,445,30821,12552,8323,1611,158,0
16,Bulloch,76640,218,40261,21140,13244,1673,322,0
17,Burke,29304,36,14947,8638,4935,615,169,0
18,Butts,34516,70,16589,9346,7441,1050,89,1
19,Calhoun,5876,8,2684,1804,1244,85,59,0
20,Camden,57967,271,34810,12760,8230,2001,166,0
21,Candler,14032,25,6397,4281,2993,307,54,0
22,Carroll,142016,515,78659,36836,22282,3867,372,0
23,Catoosa,69055,235,42446,16603,7859,1940,207,0
24,Charlton,12028,14,5470,3416,2869,219,54,0
25,Chatham,261734,2392,183282,51587,20391,5218,1256,0
26,Chattahoochee,5764,21,3512,1425,582,216,29,0
27,Chattooga,29099,47,13993,8635,5622,764,85,0
28,Cherokee,293630,3976,193814,56524,34297,8356,638,1
29,Clarke,91389,845,65767,16480,7287,1328,525,2
30,Clay,3763,3,1754,1052,881,56,20,0
31,Clayton,214815,1690,158753,38623,13392,3189,857,1
32,Clinch,8261,8,3321,2574,2218,110,38,0
33,Cobb,676232,14394,509764,106925,44806,12645,2092,0
34,Coffee,47697,61,21923,14333,10541,725,175,0
35,Colquitt,54025,72,25772,16119,11031,758,345,0
36,Columbia,162744,1360,104591,34205,19731,3741,475,1
37,Cook,20586,26,9712,5885,4554,361,74,0
38,Coweta,163191,1544,98861,35155,23918,4763,494,0
39,Crawford,17540,15,7731,4912,4340,486,71,0
40,Crisp,21865,31,11106,6138,4207,312,102,0
41,Dade,17566,57,9208,5247,2563,485,63,0
42,Dawson,43871,325,23920,10705,7629,1510,107,0
43,Decatur,32409,36,16126,9085,6630,434,134,0
44,DeKalb,532706,12751,439733,62368,21847,6873,1883,2
45,Dodge,22153,39,10111,6630,4959,358,95,0
46,Dooly,11890,14,5689,3399,2523,218,61,0
47,Dougherty,74949,173,48707,15566,9359,1002,315,0
48,Douglas,132895,1264,89885,25456,13818,3238,496,2
49,Early,15310,9,6020,3630,5443,183,32,2
50,Echols,5561,3,1874,1769,1741,78,99,0
51,Effingham,86607,288,44567,21988,16932,2855,265,0
52,Elbert,26933,32,12776,7956,5516,571,114,0
53,Emanuel,27424,26,12885,8503,5370,559,107,0
54,Evans,12437,18,5906,3846,2346,288,51,0
55,Fannin,39547,114,18725,11218,7671,1815,118,0
56,Fayette,132868,2461,88129,24854,16383,3083,419,0
57,Floyd,105322,318,59632,26378,16080,2599,632,1
58,Forsyth,263331,9673,180619,45831,30305,5911,664,1
59,Franklin,34394,63,15689,10242,7552,821,90,0
60,Fulton,811434,28461,675646,91914,28769,10892,4209,4
61,Gilmer,45164,124,22456,12689,8089,1824,106,0
62,Glascock,4508,1,1659,1508,1232,89,20,0
63,Glynn,93716,592,58392,20332,12792,1868,332,0
64,Gordon,74615,179,37434,19981,14998,2004,198,0
65,Grady,30775,30,14685,8741,6692,569,88,0
66,Greene,28395,266,16378,6529,4953,443,92,0
67,Gwinnett,846171,17497,644937,132356,52402,13292,3182,2
68,Habersham,59923,147,30762,16056,11216,1651,238,0
69,Hall,254048,1645,154417,58783,34327,5787,733,1
70,Hancock,10740,9,5804,2716,1957,183,80,0
71,Haralson,41813,96,19621,12375,8470,1248,99,0
72,Harris,50453,224,25575,13140,10244,1344,150,0
73,Hart,39176,83,19287,10673,8172,974,70,0
74,Heard,17871,14,7481,5469,4354,507,60,0
75,Henry,232754,2294,160293,40943,25386,5436,696,0
76,Houston,170178,895,109659,34570,21585,3848,516,0
77,Irwin,11865,12,5036,3924,2594,256,55,0
78,Jackson,110437,736,61569,26748,18731,3031,358,0
79,Jasper,25185,49,10939,7089,6307,770,80,0
80,Jeff Davis,18432,14,7627,5954,4527,252,72,0
81,Jefferson,20561,19,9924,5976,4264,294,103,0
82,Jenkins,9400,7,4266,2968,1979,133,54,0
83,Johnson,10667,3,4647,3370,2410,193,47,0
84,Jones,37200,102,18484,9919,7778,861,158,0
85,Lamar,26405,67,12705,7089,5774,789,47,1
